,full_word,pt1,rest
623,পরিণতিসম্মত,পরিণতি,সম্মত
624,উদ্ভাবনযোগ্য,উদ্ভাবন,যোগ্য
625,সুনির্মল,সু,নির্মল
626,উদ্বেগমুক্ত,উদ্বেগ,মুক্ত
627,পরিচ্ছন্ন,পরি,চ্ছন্ন
628,উদার,উদা,র
629,সুসংগঠিততা,সু,সংগঠিততা
630,অবিচলিত,অবিচলি,ত
631,অপার্থিবতাসম্পন্ন,অপার্থিবতা,সম্পন্ন
632,আনন্দময়তা,আনন্দময়,তা
633,উদারচিত্ত,উদার,চিত্ত
634,নির্ভরশীলতা,নির্ভরশীল,তা
635,অপরাজেয়তা,অপরাজেয়,তা
636,স্ফুটিত,স্ফু,টিত
637,সুস্থতা,সু,স্থতা
638,প্রজ্ঞাপূর্ণ,প্রজ্ঞা,পূর্ণ
639,স্মরণীয়,স্মরণ,ীয়
640,উপলব্ধিযোগ্য,উপলব্ধি,যোগ্য
641,অধিকারযোগ্য,অধিকার,যোগ্য
642,স্বনির্ভর,স্ব,নির্ভর
643,সত্যবাদী,সত্য,বাদী
644,সৌহার্দ্যপূর্ণ,সৌহার্দ্য,পূর্ণ
645,অপ্রতিম,অপ্র,তিম
646,বৈশ্বিক,বৈশ্বি,ক
647,উৎসর্গীকৃত,উৎসর্গ,ীকৃত
648,পরিবেশবান্ধব,পরিবেশ,বান্ধব
649,সজীব,সজী,ব
650,উদ্বুদ্ধতা,উদ্বুদ্ধ,তা
651,দীর্ঘস্থায়িত্ব,দীর্ঘ,স্থায়িত্ব
652,পরিশীলিত,পরি,শীলিত
653,উত্তেজনাপূর্ণ,উত্তেজনা,পূর্ণ
654,অসামান্য,অসা,মান্য
655,উৎকৃষ্ট,উৎ,কৃষ্ট
656,সুচিন্তিততা,সু,চিন্তিততা
657,অদম্য,অদ,ম্য
658,প্রতিভাবানতা,প্রতিভা,বানতা
659,অপ্রতিরোধ্য,অপ্রতি,রোধ্য
660,বৈচিত্র্যপূর্ণতা,বৈচিত্র্য,পূর্ণতা
661,সৃষ্টিশীলতা,সৃষ্টি,শীলতা
662,দীর্ঘায়ু,দীর্ঘা,য়ু
663,অদ্বিতীয়,অদ্বি,তীয়
664,উত্তমতা,উত্তম,তা
665,সুপ্রতিকল্পিত,সু,পরিকল্পিত
666,অসামঞ্জস্য,অসা,মঞ্জস্য
667,নিরন্তরতা,নি,রন্তরতা
668,অবিচলতা,অবিচল,তা
669,উপলব্ধি,উপলব্ধ,ি
670,অপূর্ব,অপূ,র্ব
671,সুসংবাদ,সু,সংবাদ
672,সৌন্দর্যময়ী,সৌন্দর্য,ময়ী
673,অপেক্ষাকৃত,অপেক্ষা,কৃত
674,উদ্বেগমুক্ততা,উদ্বেগ,মুক্ততা
675,অপেক্ষিত,অপেক্ষি,ত
676,উদ্ভাবনশীলতা,উদ্ভাবন,শীলতা
677,অসীমতা,অসীম,তা
678,প্রগতিশীলতা,প্রগতি,শীলতা
679,উদ্যমশীল,উদ্যম,শীল
680,নির্বিচ্ছিন্নতা,নি,র্বিচ্ছিন্নতা
681,উদ্বোধন,উদ্বোধ,ন
682,আত্মনির্ভরশীল,আত্ম,নির্ভরশীল
683,সুসংস্কৃত,সু,সংস্কৃত
684,প্রজ্ঞাশীল,প্রজ্ঞা,শীল
685,নির্মলবিচ্ছিন্ন,নির্মল,বিচ্ছিন্ন
686,সৌন্দর্যবোধ,সৌন্দর্য,বোধ
687,অমায়াবাদী,অমায়া,বাদী
688,সুষম,সু,সম
689,বিশ্বব্রত,বিশ্ব,ব্রত
690,সুপ্রতিভা,সু,প্রতিভা
691,উদারমনা,উদার,মনা
692,উৎসাহব্যঞ্জকতা,উৎসাহ,ব্যঞ্জকতা
693,উদ্যমশীলতা,উদ্যম,শীলতা
694,সুচিন্তনময়,সু,চিন্তনময়
695,বৈজ্ঞানিকতা,বৈজ্ঞান,ইকতা
696,সৃজনশীল,সৃজন,শীল
697,সৃজনশীলতা,সৃজন,শীলতা
698,পরিশীলিততা,পরি,শীলিততা
699,অতুলনীয়সত্তা,অতুলনীয়,সত্তা
700,অসামঞ্জস্যতা,অসা,মঞ্জস্যতা
701,সুস্পষ্টতা,সু,স্পষ্টতা
702,সুপ্রশিক্ষিত,সু,প্রশিক্ষিত
703,পরিকল্পনাশীল,পরিকল্পনা,শীল
704,নির্বাচনপ্রক্রিয়া,নির্বাচন,প্রক্রিয়া
705,সুষ্ঠু,সু,ষ্টু
706,উদ্যোগী,উদ্যো,গী
707,আত্মনির্ভরশীলতা,আত্ম,নির্ভরশীলতা
708,উদ্বোধনীতা,উদ্বোধন,ীতা
709,সুপ্রতিষ্ঠিততা,সু,প্রতিষ্ঠিততা
710,উদ্যোগশীল,উদ্যোগ,শীল
711,সুপ্রতিভাশালী,সু,প্রতিভাশালী
712,উদারচিত্ততা,উদার,চিত্ততা
713,অপরাজেয়ত্ব,অপরাজেয়,ত্ব
714,স্ফুটিততা,স্ফু,টিততা
715,সুস্থবস্থা,সু,স্থবস্থা
716,প্রজ্ঞাপূর্ণতা,প্রজ্ঞা,পূর্ণতা
717,স্মরণীয়তা,স্মরণ,ীয়তা
718,উপলব্ধিযোগ্যতা,উপলব্ধি,যোগ্যতা
719,অধিকারযোগ্যতা,অধিকার,যোগ্যতা
720,স্বনির্ভরতায়,স্ব,নির্ভরতায়
721,সত্যবাদিতার,সত্য,বাদিতার
722,সৌহার্দ্যপূর্ণতা,সৌহার্দ্য,পূর্ণতা
723,অপ্রতিমত্ব,অপ্র,তিমত্ব
724,বৈশ্বিকতা,বৈশ্বি,কতা
725,উৎসর্গীকৃততা,উৎসর্গ,ীকৃততা
726,পরিবেশবান্ধবতা,পরিবেশ,বান্ধবতা
727,সজীবতা,সজী,বতা
728,উদ্বুদ্ধিমত্তা,উদ্বুদ্ধি,মত্তা
729,দীর্ঘস্থায়িত্বতা,দীর্ঘ,স্থায়িত্বতা
730,পরিশীলিতভাব,পরি,শীলিতভাব
731,উত্তেজনাপূর্ণতা,উত্তেজনা,পূর্ণতা
732,অসামান্যতা,অসা,মান্যতা
733,উৎকৃষ্টতা,উৎ,কৃষ্টতা
734,সুচিন্তিততাময়,সু,চিন্তিততাময়
735,অদম্যতা,অদ,ম্যতা
736,প্রতিভাবানতাময়,প্রতিভা,বানতাময়
737,অপ্রতিরোধ্যতা,অপ্রতি,রোধ্যতা
738,বৈচিত্র্যপূর্ণতাময়,বৈচিত্র্য,পূর্ণতাময়
739,সৃষ্টিশীলতাময়,সৃষ্টি,শীলতাময়
740,দীর্ঘায়ুত্ব,দীর্ঘা,য়ুত্ব
741,অদ্বিতীয়তা,অদ্বি,তীয়তা
742,উত্তমতাময়,উত্তম,তাময়
743,সুপ্রতিকল্পিততা,সু,পরিকল্পিততা
744,অসামঞ্জস্যময়,অসামঞ্জস্য,ময়
745,নিরন্তরতাময়,নি,রন্তরতাময়
746,অবিচলতাময়,অবিচল,তাময়
747,উপলব্ধিগত,উপলব্ধি,গত
748,অপূর্বতা,অপূ,র্বতা
749,সুসংবাদপ্রসূত,সু,সংবাদপ্রসূত
750,সৌন্দর্যময়ীতা,সৌন্দর্য,ময়ীতা
751,অপেক্ষাকৃততা,অপেক্ষা,কৃততা
752,উদ্বেগমুক্ততাময়,উদ্বেগ,মুক্ততাময়
753,অপেক্ষিততা,অপেক্ষি,ততা
754,উদ্ভাবনশীলতাময়,উদ্ভাবন,শীলতাময়
755,অসীমতাময়,অসীম,তাময়
756,প্রগতিশীলতাময়,প্রগতি,শীলতাময়
757,উদ্যমশীলতাময়,উদ্যম,শীলতাময়
758,আনন্দপ্রদ,আনন্দ,প্রদ
759,চেতনাবান,চেতন,াবান
760,শান্তিদায়ক,শান্তি,দায়ক
761,উজ্জ্বলকর,উজ্জ্বল,কর
762,সুপ্রজ্ঞ,সু,প্রজ্ঞ
763,অমলিনতা,অমলিন,তা
764,প্রেরণামূলক,প্রেরণা,মূলক
765,উদ্দীপক,উদ্দীপ,ক
766,চিন্তাময়,চিন্তা,ময়
767,মননশীলতা,মনন,শীলতা
768,পরিকল্পনাপ্রবণ,পরিকল্পনা,প্রবণ
769,স্মৃতিময়,স্মৃতি,ময়
770,উদ্যমবর্ধক,উদ্যম,বর্ধক
771,সমর্থনযোগ্য,সমর্থন,যোগ্য
772,বুদ্ধিমত্তা,বুদ্ধি,মত্তা
773,সচেতনতা,সচেতন,তা
774,উন্নয়নশীল,উন্নয়ন,শীল
775,উন্নয়নমুখী,উন্নয়ন,মুখী
776,নবজীবন,নব,জীবন
777,আলোকসজ্জিত,আলোক,সজ্জিত
778,অতিশয়,অতি,শয়
779,অপূর্বময়,অপূর্ব,ময়
780,প্রখর,প্রখ,র
781,প্রখরতা,প্রখর,তা
782,মধুরিমা,মধু,রিমা
783,সৌন্দর্যবর্ধক,সৌন্দর্য,বর্ধক
784,নবীনতা,নবীন,তা
785,জ্ঞানবর্ধক,জ্ঞান,বর্ধক
786,বৈচিত্র্যসমৃদ্ধ,বৈচিত্র্য,সমৃদ্ধ
787,প্রতিভাপূর্ণ,প্রতিভা,পূর্ণ
788,অনুপ্রেরণাদায়িনী,অনুপ্রেরণা,দায়িনী
789,সজীবতাপূর্ণ,সজীবতা,পূর্ণ
790,উদ্ভাবনী,উদ্ভাবন,নী
791,উদ্বেগহীন,উদ্বেগ,হীন
792,নিরাময়,নি,রাময়
793,সহজসাধ্য,সহজ,সাধ্য
794,অব্যাহত,অব্য,াহত
795,অদলবদল,অদল,বদল
796,পরিপাটি,পরি,পাটি
797,আলোরোপণ,আলো,রোপণ
798,উজ্জীবন,উজ্জীব,ন
799,মনোবোধ,মনো,বোধ
800,অতিমাত্রা,অতি,মাত্রা
801,অত্যন্ত,অত্য,ন্ত
802,প্রচুরতা,প্রচুর,তা
803,বহুমাত্রিক,বহু,মাত্রিক
